Source Name	Cell ID	Predicted Archetype
0AF10D7E72	1	4
0AF10D7E72	2	2
0AF10D7E72	3	3
0AF10D7E72	4	2
0AF10D7E72	5	2
0AF10D7E72	6	2
0AF10D7E72	7	3
0AF10D7E72	8	2
0AF10D7E72	9	2
0AF10D7E72	10	2
0AF10D7E72	11	4
0AF10D7E72	12	2
0AF10D7E72	13	2
0AF10D7E72	14	2
0AF10D7E72	15	2
0AF10D7E72	16	4
0AF10D7E72	17	2
0AF10D7E72	18	2
0AF10D7E72	19	1
0AF10D7E72	20	4
0AF10D7E72	21	1
0AF10D7E72	22	2
0AF10D7E72	23	4
0AF10D7E72	24	2
0AF10D7E72	25	2
0AF10D7E72	26	2
0AF10D7E72	27	2
0AF10D7E72	28	2
0AF10D7E72	29	1
0AF10D7E72	30	3
0AF10D7E72	31	3
0AF10D7E72	32	1
0AF10D7E72	33	2
0AF10D7E72	34	1
0AF10D7E72	35	1
0AF10D7E72	36	4
0AF10D7E72	37	2
0AF10D7E72	38	2
0AF10D7E72	39	1
0AF10D7E72	40	2
0AF10D7E72	41	1
0AF10D7E72	42	3
0AF10D7E72	43	1
0AF10D7E72	44	2
0AF10D7E72	45	2
0AF10D7E72	46	2
0AF10D7E72	47	1
0AF10D7E72	48	2
0AF10D7E72	49	1
0AF10D7E72	50	1
0AF10D7E72	51	2
0AF10D7E72	52	2
0AF10D7E72	53	1
0AF10D7E72	54	2
0AF10D7E72	55	1
0AF10D7E72	56	2
0AF10D7E72	57	2
0AF10D7E72	58	1
0AF10D7E72	59	1
0AF10D7E72	60	2
0AF10D7E72	61	2
0AF10D7E72	62	2
0AF10D7E72	63	1
0AF10D7E72	64	2
0AF10D7E72	65	3
0AF10D7E72	66	2
0AF10D7E72	67	1
0AF10D7E72	68	1
0AF10D7E72	69	3
0AF10D7E72	70	3
0AF10D7E72	71	2
0AF10D7E72	72	1
0AF10D7E72	73	4
0AF10D7E72	74	2
0AF10D7E72	75	2
0AF10D7E72	76	3
0AF10D7E72	77	1
0AF10D7E72	78	3
