Source Name	Cell ID	Predicted Archetype
15999C80F3	1	3
15999C80F3	2	1
15999C80F3	3	1
15999C80F3	4	1
15999C80F3	5	2
15999C80F3	6	2
15999C80F3	7	2
15999C80F3	8	2
15999C80F3	9	2
15999C80F3	10	1
15999C80F3	11	1
15999C80F3	12	1
15999C80F3	13	2
15999C80F3	14	1
15999C80F3	15	1
15999C80F3	16	1
15999C80F3	17	2
15999C80F3	18	1
15999C80F3	19	2
15999C80F3	20	1
15999C80F3	21	1
15999C80F3	22	2
15999C80F3	23	2
15999C80F3	24	1
15999C80F3	25	1
15999C80F3	26	1
15999C80F3	27	1
15999C80F3	28	2
15999C80F3	29	1
15999C80F3	30	1
15999C80F3	31	1
15999C80F3	32	1
15999C80F3	33	4
15999C80F3	34	4
15999C80F3	35	2
15999C80F3	36	4
15999C80F3	37	2
15999C80F3	38	4
15999C80F3	39	2
15999C80F3	40	2
15999C80F3	41	2
15999C80F3	42	2
15999C80F3	43	1
15999C80F3	44	1
15999C80F3	45	1
15999C80F3	46	2
15999C80F3	47	1
15999C80F3	48	1
15999C80F3	49	2
15999C80F3	50	2
15999C80F3	51	1
15999C80F3	52	2
15999C80F3	53	1
15999C80F3	54	3
15999C80F3	55	2
15999C80F3	56	1
15999C80F3	57	2
15999C80F3	58	1
15999C80F3	59	1
15999C80F3	60	3
15999C80F3	61	3
15999C80F3	62	4
15999C80F3	63	2
15999C80F3	64	1
15999C80F3	65	4
15999C80F3	66	2
15999C80F3	67	2
15999C80F3	68	4
15999C80F3	69	2
15999C80F3	70	2
15999C80F3	71	2
15999C80F3	72	2
15999C80F3	73	2
15999C80F3	74	2
15999C80F3	75	1
15999C80F3	76	1
15999C80F3	77	2
15999C80F3	78	2
15999C80F3	79	1
15999C80F3	80	3
15999C80F3	81	1
15999C80F3	82	2
15999C80F3	83	2
15999C80F3	84	2
15999C80F3	85	2
15999C80F3	86	4
15999C80F3	87	1
15999C80F3	88	2
15999C80F3	89	2
15999C80F3	90	2
15999C80F3	91	2
15999C80F3	92	2
15999C80F3	93	2
15999C80F3	94	2
15999C80F3	95	2
15999C80F3	96	2
15999C80F3	97	2
15999C80F3	98	2
15999C80F3	99	2
15999C80F3	100	2
15999C80F3	101	3
15999C80F3	102	2
15999C80F3	103	1
15999C80F3	104	1
15999C80F3	105	2
