Source Name	Cell ID	Predicted Archetype
43665D3AE9	1	2
43665D3AE9	2	3
43665D3AE9	3	2
43665D3AE9	4	2
43665D3AE9	5	3
43665D3AE9	6	3
43665D3AE9	7	2
43665D3AE9	8	3
43665D3AE9	9	1
43665D3AE9	10	2
43665D3AE9	11	3
43665D3AE9	12	1
43665D3AE9	13	2
43665D3AE9	14	2
43665D3AE9	15	2
43665D3AE9	16	3
43665D3AE9	17	1
43665D3AE9	18	2
43665D3AE9	19	1
43665D3AE9	20	1
43665D3AE9	21	3
43665D3AE9	22	3
43665D3AE9	23	2
43665D3AE9	24	2
43665D3AE9	25	1
43665D3AE9	26	1
43665D3AE9	27	1
43665D3AE9	28	3
43665D3AE9	29	1
43665D3AE9	30	1
43665D3AE9	31	3
43665D3AE9	32	2
43665D3AE9	33	2
43665D3AE9	34	1
43665D3AE9	35	1
43665D3AE9	36	1
43665D3AE9	37	1
43665D3AE9	38	2
43665D3AE9	39	4
43665D3AE9	40	3
43665D3AE9	41	4
43665D3AE9	42	4
43665D3AE9	43	2
43665D3AE9	44	4
43665D3AE9	45	3
43665D3AE9	46	3
43665D3AE9	47	2
43665D3AE9	48	2
43665D3AE9	49	1
43665D3AE9	50	1
43665D3AE9	51	2
43665D3AE9	52	1
43665D3AE9	53	1
43665D3AE9	54	3
43665D3AE9	55	2
43665D3AE9	56	4
43665D3AE9	57	4
43665D3AE9	58	4
43665D3AE9	59	2
43665D3AE9	60	2
43665D3AE9	61	4
43665D3AE9	62	2
43665D3AE9	63	2
43665D3AE9	64	2
43665D3AE9	65	2
43665D3AE9	66	2
