Source Name	Cell ID	Predicted Archetype
4882D586F3	1	1
4882D586F3	2	1
4882D586F3	3	1
4882D586F3	4	1
4882D586F3	5	2
4882D586F3	6	1
4882D586F3	7	1
4882D586F3	8	3
4882D586F3	9	3
4882D586F3	10	1
4882D586F3	11	1
4882D586F3	12	2
4882D586F3	13	2
4882D586F3	14	3
4882D586F3	15	2
4882D586F3	16	1
4882D586F3	17	1
4882D586F3	18	3
4882D586F3	19	1
4882D586F3	20	2
4882D586F3	21	1
4882D586F3	22	2
4882D586F3	23	1
4882D586F3	24	1
4882D586F3	25	1
4882D586F3	26	1
4882D586F3	27	1
4882D586F3	28	1
4882D586F3	29	1
4882D586F3	30	1
4882D586F3	31	3
4882D586F3	32	3
4882D586F3	33	2
4882D586F3	34	1
4882D586F3	35	3
4882D586F3	36	1
4882D586F3	37	1
4882D586F3	38	1
4882D586F3	39	2
4882D586F3	40	2
4882D586F3	41	1
4882D586F3	42	1
4882D586F3	43	1
4882D586F3	44	3
4882D586F3	45	2
4882D586F3	46	4
4882D586F3	47	4
4882D586F3	48	3
4882D586F3	49	3
4882D586F3	50	2
4882D586F3	51	1
4882D586F3	52	3
4882D586F3	53	1
4882D586F3	54	1
4882D586F3	55	3
4882D586F3	56	2
4882D586F3	57	3
4882D586F3	58	4
4882D586F3	59	2
4882D586F3	60	2
4882D586F3	61	2
4882D586F3	62	2
4882D586F3	63	2
4882D586F3	64	2
4882D586F3	65	2
4882D586F3	66	4
4882D586F3	67	2
4882D586F3	68	2
4882D586F3	69	2
4882D586F3	70	2
4882D586F3	71	2
4882D586F3	72	4
4882D586F3	73	2
4882D586F3	74	2
4882D586F3	75	2
4882D586F3	76	2
