Source Name	Cell ID	Predicted Archetype
622ABBE65A	1	2
622ABBE65A	2	1
622ABBE65A	3	1
622ABBE65A	4	1
622ABBE65A	5	2
622ABBE65A	6	1
622ABBE65A	7	2
622ABBE65A	8	2
622ABBE65A	9	2
622ABBE65A	10	2
622ABBE65A	11	2
622ABBE65A	12	1
622ABBE65A	13	1
622ABBE65A	14	2
622ABBE65A	15	4
622ABBE65A	16	1
622ABBE65A	17	1
622ABBE65A	18	1
622ABBE65A	19	1
622ABBE65A	20	1
622ABBE65A	21	1
622ABBE65A	22	2
622ABBE65A	23	2
622ABBE65A	24	2
622ABBE65A	25	2
622ABBE65A	26	2
622ABBE65A	27	1
622ABBE65A	28	1
622ABBE65A	29	2
622ABBE65A	30	2
622ABBE65A	31	1
622ABBE65A	32	2
622ABBE65A	33	2
622ABBE65A	34	2
622ABBE65A	35	1
622ABBE65A	36	2
622ABBE65A	37	2
622ABBE65A	38	1
622ABBE65A	39	1
622ABBE65A	40	1
622ABBE65A	41	4
622ABBE65A	42	2
622ABBE65A	43	1
622ABBE65A	44	2
622ABBE65A	45	2
622ABBE65A	46	2
