Source Name	Cell ID	Predicted Archetype
63BC284B28	1	2
63BC284B28	2	2
63BC284B28	3	2
63BC284B28	4	2
63BC284B28	5	1
63BC284B28	6	2
63BC284B28	7	2
63BC284B28	8	2
63BC284B28	9	4
63BC284B28	10	2
63BC284B28	11	2
63BC284B28	12	2
63BC284B28	13	1
63BC284B28	14	1
63BC284B28	15	2
63BC284B28	16	1
63BC284B28	17	2
63BC284B28	18	1
63BC284B28	19	1
63BC284B28	20	2
63BC284B28	21	2
63BC284B28	22	2
63BC284B28	23	2
63BC284B28	24	1
63BC284B28	25	2
63BC284B28	26	2
63BC284B28	27	1
63BC284B28	28	2
63BC284B28	29	2
63BC284B28	30	1
63BC284B28	31	1
63BC284B28	32	1
63BC284B28	33	2
63BC284B28	34	2
63BC284B28	35	2
63BC284B28	36	3
63BC284B28	37	1
63BC284B28	38	2
63BC284B28	39	1
63BC284B28	40	1
63BC284B28	41	2
63BC284B28	42	3
63BC284B28	43	1
63BC284B28	44	1
63BC284B28	45	2
63BC284B28	46	2
63BC284B28	47	1
63BC284B28	48	1
63BC284B28	49	1
63BC284B28	50	1
63BC284B28	51	1
63BC284B28	52	1
63BC284B28	53	1
63BC284B28	54	2
63BC284B28	55	1
63BC284B28	56	4
63BC284B28	57	1
63BC284B28	58	1
63BC284B28	59	2
63BC284B28	60	2
63BC284B28	61	1
63BC284B28	62	2
63BC284B28	63	2
63BC284B28	64	1
63BC284B28	65	1
63BC284B28	66	4
63BC284B28	67	1
63BC284B28	68	1
63BC284B28	69	1
63BC284B28	70	1
63BC284B28	71	1
63BC284B28	72	1
63BC284B28	73	2
63BC284B28	74	1
63BC284B28	75	2
63BC284B28	76	1
63BC284B28	77	1
63BC284B28	78	2
63BC284B28	79	1
63BC284B28	80	3
63BC284B28	81	1
63BC284B28	82	1
63BC284B28	83	4
63BC284B28	84	1
63BC284B28	85	1
63BC284B28	86	3
63BC284B28	87	4
63BC284B28	88	3
63BC284B28	89	1
63BC284B28	90	1
63BC284B28	91	3
63BC284B28	92	1
63BC284B28	93	2
63BC284B28	94	2
63BC284B28	95	3
63BC284B28	96	2
63BC284B28	97	3
63BC284B28	98	3
63BC284B28	99	1
63BC284B28	100	1
63BC284B28	101	1
63BC284B28	102	1
63BC284B28	103	2
63BC284B28	104	2
63BC284B28	105	2
63BC284B28	106	1
63BC284B28	107	3
63BC284B28	108	1
63BC284B28	109	3
63BC284B28	110	3
63BC284B28	111	3
63BC284B28	112	2
63BC284B28	113	2
63BC284B28	114	3
63BC284B28	115	2
63BC284B28	116	3
63BC284B28	117	1
63BC284B28	118	2
63BC284B28	119	2
63BC284B28	120	4
63BC284B28	121	1
63BC284B28	122	3
63BC284B28	123	3
63BC284B28	124	2
63BC284B28	125	3
63BC284B28	126	2
63BC284B28	127	2
