Source Name	Cell ID	Predicted Archetype
828AAFF38C	1	1
828AAFF38C	2	1
828AAFF38C	3	2
828AAFF38C	4	2
828AAFF38C	5	2
828AAFF38C	6	1
828AAFF38C	7	1
828AAFF38C	8	1
828AAFF38C	9	1
828AAFF38C	10	1
828AAFF38C	11	1
828AAFF38C	12	1
828AAFF38C	13	1
828AAFF38C	14	1
828AAFF38C	15	2
828AAFF38C	16	1
828AAFF38C	17	1
828AAFF38C	18	1
828AAFF38C	19	1
828AAFF38C	20	1
828AAFF38C	21	2
828AAFF38C	22	2
828AAFF38C	23	1
828AAFF38C	24	2
828AAFF38C	25	1
828AAFF38C	26	1
828AAFF38C	27	1
828AAFF38C	28	1
828AAFF38C	29	1
828AAFF38C	30	1
828AAFF38C	31	2
828AAFF38C	32	2
828AAFF38C	33	2
828AAFF38C	34	1
828AAFF38C	35	1
828AAFF38C	36	2
828AAFF38C	37	1
828AAFF38C	38	2
828AAFF38C	39	1
828AAFF38C	40	1
828AAFF38C	41	1
828AAFF38C	42	2
828AAFF38C	43	1
828AAFF38C	44	2
828AAFF38C	45	1
828AAFF38C	46	2
828AAFF38C	47	1
828AAFF38C	48	1
828AAFF38C	49	1
828AAFF38C	50	2
828AAFF38C	51	1
828AAFF38C	52	1
828AAFF38C	53	2
828AAFF38C	54	2
828AAFF38C	55	1
828AAFF38C	56	1
828AAFF38C	57	2
828AAFF38C	58	1
828AAFF38C	59	1
828AAFF38C	60	2
828AAFF38C	61	2
828AAFF38C	62	2
828AAFF38C	63	2
828AAFF38C	64	1
828AAFF38C	65	2
828AAFF38C	66	1
828AAFF38C	67	2
828AAFF38C	68	1
828AAFF38C	69	1
828AAFF38C	70	2
828AAFF38C	71	1
828AAFF38C	72	4
828AAFF38C	73	4
828AAFF38C	74	1
828AAFF38C	75	1
828AAFF38C	76	4
828AAFF38C	77	1
828AAFF38C	78	1
828AAFF38C	79	2
828AAFF38C	80	1
828AAFF38C	81	2
828AAFF38C	82	2
828AAFF38C	83	2
828AAFF38C	84	2
828AAFF38C	85	2
828AAFF38C	86	2
828AAFF38C	87	2
828AAFF38C	88	2
828AAFF38C	89	1
828AAFF38C	90	2
828AAFF38C	91	3
828AAFF38C	92	2
828AAFF38C	93	2
828AAFF38C	94	2
828AAFF38C	95	4
828AAFF38C	96	4
828AAFF38C	97	2
828AAFF38C	98	3
