Source Name	Cell ID	Predicted Archetype
9CB73DC13A	1	1
9CB73DC13A	2	1
9CB73DC13A	3	1
9CB73DC13A	4	1
9CB73DC13A	5	1
9CB73DC13A	6	1
9CB73DC13A	7	1
9CB73DC13A	8	1
9CB73DC13A	9	2
9CB73DC13A	10	1
9CB73DC13A	11	1
9CB73DC13A	12	1
9CB73DC13A	13	2
9CB73DC13A	14	1
9CB73DC13A	15	1
9CB73DC13A	16	1
9CB73DC13A	17	1
9CB73DC13A	18	1
9CB73DC13A	19	1
9CB73DC13A	20	1
9CB73DC13A	21	1
9CB73DC13A	22	1
9CB73DC13A	23	3
9CB73DC13A	24	1
9CB73DC13A	25	1
9CB73DC13A	26	1
9CB73DC13A	27	2
9CB73DC13A	28	1
9CB73DC13A	29	1
9CB73DC13A	30	1
9CB73DC13A	31	1
9CB73DC13A	32	2
9CB73DC13A	33	1
9CB73DC13A	34	4
9CB73DC13A	35	2
9CB73DC13A	36	1
9CB73DC13A	37	2
9CB73DC13A	38	1
9CB73DC13A	39	2
9CB73DC13A	40	1
9CB73DC13A	41	1
9CB73DC13A	42	1
9CB73DC13A	43	1
9CB73DC13A	44	2
9CB73DC13A	45	2
9CB73DC13A	46	1
9CB73DC13A	47	1
9CB73DC13A	48	1
9CB73DC13A	49	3
9CB73DC13A	50	2
9CB73DC13A	51	1
9CB73DC13A	52	2
9CB73DC13A	53	2
9CB73DC13A	54	2
9CB73DC13A	55	4
9CB73DC13A	56	1
9CB73DC13A	57	2
9CB73DC13A	58	1
9CB73DC13A	59	2
9CB73DC13A	60	2
9CB73DC13A	61	2
9CB73DC13A	62	1
9CB73DC13A	63	1
9CB73DC13A	64	1
9CB73DC13A	65	1
9CB73DC13A	66	1
9CB73DC13A	67	1
9CB73DC13A	68	2
9CB73DC13A	69	3
9CB73DC13A	70	1
9CB73DC13A	71	1
9CB73DC13A	72	4
9CB73DC13A	73	1
9CB73DC13A	74	1
9CB73DC13A	75	2
9CB73DC13A	76	3
9CB73DC13A	77	1
9CB73DC13A	78	1
9CB73DC13A	79	1
9CB73DC13A	80	1
9CB73DC13A	81	1
9CB73DC13A	82	1
9CB73DC13A	83	1
9CB73DC13A	84	1
9CB73DC13A	85	2
9CB73DC13A	86	2
9CB73DC13A	87	2
9CB73DC13A	88	2
9CB73DC13A	89	1
9CB73DC13A	90	1
9CB73DC13A	91	4
9CB73DC13A	92	1
9CB73DC13A	93	2
9CB73DC13A	94	2
9CB73DC13A	95	2
9CB73DC13A	96	2
9CB73DC13A	97	1
9CB73DC13A	98	1
9CB73DC13A	99	1
9CB73DC13A	100	2
9CB73DC13A	101	4
9CB73DC13A	102	4
9CB73DC13A	103	1
9CB73DC13A	104	2
9CB73DC13A	105	1
9CB73DC13A	106	2
9CB73DC13A	107	4
9CB73DC13A	108	4
9CB73DC13A	109	4
9CB73DC13A	110	2
9CB73DC13A	111	4
9CB73DC13A	112	2
9CB73DC13A	113	3
9CB73DC13A	114	4
9CB73DC13A	115	2
9CB73DC13A	116	2
9CB73DC13A	117	4
9CB73DC13A	118	2
9CB73DC13A	119	4
9CB73DC13A	120	4
9CB73DC13A	121	1
9CB73DC13A	122	3
9CB73DC13A	123	1
9CB73DC13A	124	1
9CB73DC13A	125	4
9CB73DC13A	126	1
9CB73DC13A	127	4
9CB73DC13A	128	2
9CB73DC13A	129	4
9CB73DC13A	130	2
9CB73DC13A	131	4
