Source Name	Cell ID	Annotated Archetype
A96BA2AE1C	1	nan
A96BA2AE1C	2	nan
A96BA2AE1C	3	nan
A96BA2AE1C	4	1
A96BA2AE1C	5	1
A96BA2AE1C	6	1
A96BA2AE1C	7	1
A96BA2AE1C	8	nan
A96BA2AE1C	9	1
A96BA2AE1C	10	nan
A96BA2AE1C	11	nan
A96BA2AE1C	12	nan
A96BA2AE1C	13	nan
A96BA2AE1C	14	nan
A96BA2AE1C	15	nan
A96BA2AE1C	16	1
A96BA2AE1C	17	nan
A96BA2AE1C	18	1
A96BA2AE1C	19	2
A96BA2AE1C	20	nan
A96BA2AE1C	21	nan
A96BA2AE1C	22	1
A96BA2AE1C	23	nan
A96BA2AE1C	24	2
A96BA2AE1C	25	nan
A96BA2AE1C	26	nan
A96BA2AE1C	27	nan
A96BA2AE1C	28	nan
A96BA2AE1C	29	nan
A96BA2AE1C	30	2
A96BA2AE1C	31	nan
A96BA2AE1C	32	nan
A96BA2AE1C	33	2
A96BA2AE1C	34	nan
A96BA2AE1C	35	1
A96BA2AE1C	36	nan
A96BA2AE1C	37	nan
A96BA2AE1C	38	nan
A96BA2AE1C	39	nan
A96BA2AE1C	40	nan
A96BA2AE1C	41	nan
A96BA2AE1C	42	nan
A96BA2AE1C	43	2
A96BA2AE1C	44	nan
A96BA2AE1C	45	4
A96BA2AE1C	46	4
A96BA2AE1C	47	3
A96BA2AE1C	48	nan
A96BA2AE1C	49	nan
A96BA2AE1C	50	nan
A96BA2AE1C	51	nan
A96BA2AE1C	52	nan
A96BA2AE1C	53	nan
A96BA2AE1C	54	nan
A96BA2AE1C	55	nan
A96BA2AE1C	56	nan
A96BA2AE1C	57	nan
A96BA2AE1C	58	nan
A96BA2AE1C	59	nan
A96BA2AE1C	60	nan
A96BA2AE1C	61	nan
A96BA2AE1C	62	2
A96BA2AE1C	63	nan
A96BA2AE1C	64	nan
A96BA2AE1C	65	nan
A96BA2AE1C	66	nan
A96BA2AE1C	67	nan
A96BA2AE1C	68	nan
A96BA2AE1C	69	nan
A96BA2AE1C	70	nan
A96BA2AE1C	71	3
A96BA2AE1C	72	nan
A96BA2AE1C	73	nan
A96BA2AE1C	74	2
A96BA2AE1C	75	3
A96BA2AE1C	76	nan
A96BA2AE1C	77	nan
A96BA2AE1C	78	nan
A96BA2AE1C	79	nan
A96BA2AE1C	80	nan
A96BA2AE1C	81	nan
A96BA2AE1C	82	nan
A96BA2AE1C	83	nan
A96BA2AE1C	84	nan
A96BA2AE1C	85	2
A96BA2AE1C	86	nan
A96BA2AE1C	87	nan
A96BA2AE1C	88	nan
A96BA2AE1C	89	nan
A96BA2AE1C	90	nan
A96BA2AE1C	91	nan
A96BA2AE1C	92	nan
A96BA2AE1C	93	nan
A96BA2AE1C	94	nan
A96BA2AE1C	95	nan
A96BA2AE1C	96	nan
A96BA2AE1C	97	2
A96BA2AE1C	98	nan
A96BA2AE1C	99	nan
A96BA2AE1C	100	nan
A96BA2AE1C	101	nan
A96BA2AE1C	102	nan
A96BA2AE1C	103	nan
A96BA2AE1C	104	nan
A96BA2AE1C	105	nan
A96BA2AE1C	106	nan
